New_Tree_ID,Original_Tree_ID,AGB,w_390nm,w_394nm,w_398nm,w_402nm,w_406nm,w_410nm,w_414nm,w_418nm,w_422nm,w_426nm,w_430nm,w_434nm,w_438nm,w_442nm,w_446nm,w_450nm,w_454nm,w_458nm,w_462nm,w_466nm,w_470nm,w_474nm,w_478nm,w_482nm,w_486nm,w_490nm,w_494nm,w_498nm,w_502nm,w_506nm,w_510nm,w_514nm,w_518nm,w_522nm,w_526nm,w_530nm,w_534nm,w_538nm,w_542nm,w_546nm,w_550nm,w_554nm,w_558nm,w_562nm,w_566nm,w_570nm,w_574nm,w_578nm,w_582nm,w_586nm,w_590nm,w_594nm,w_598nm,w_602nm,w_606nm,w_610nm,w_614nm,w_618nm,w_622nm,w_626nm,w_630nm,w_634nm,w_638nm,w_642nm,w_646nm,w_650nm,w_654nm,w_658nm,w_662nm,w_666nm,w_670nm,w_674nm,w_678nm,w_682nm,w_686nm,w_690nm,w_694nm,w_698nm,w_702nm,w_706nm,w_710nm,w_714nm,w_718nm,w_722nm,w_726nm,w_730nm,w_734nm,w_738nm,w_742nm,w_746nm,w_750nm,w_754nm,w_758nm,w_762nm,w_766nm,w_770nm,w_774nm,w_778nm,w_782nm,w_786nm,w_790nm,w_794nm,w_798nm,w_802nm,w_806nm,w_810nm,w_814nm,w_818nm,w_822nm,w_826nm,w_830nm,w_834nm,w_838nm,w_842nm,w_846nm,w_850nm,w_854nm,w_858nm,w_862nm,w_866nm,w_870nm,w_874nm,w_878nm,w_882nm,w_886nm,w_890nm,w_894nm,w_898nm,w_902nm,w_906nm,w_910nm,w_914nm,w_918nm,w_922nm,w_926nm,w_930nm,w_934nm,w_938nm,w_942nm,w_946nm,w_950nm,w_954nm,w_958nm,w_962nm
1,01_12,78.38676803,0.0005799504074835644,0.00826850609682058,0.017067298121913523,0.027396459654321775,0.03711221618247311,0.04519462267984956,0.051829860128909715,0.0580006126270765,0.0631315104849743,0.06686199821067527,0.07204995440464812,0.0790124627258662,0.08659002902212047,0.09147526106332803,0.09628658171204099,0.10636307246147327,0.12243321666676023,0.13728830953641363,0.14495162624083904,0.14740489701911885,0.14923962694477716,0.15218437130187637,0.15450487876126404,0.15544135521973784,0.1556613640248814,0.15733154028242816,0.16023779825889428,0.16398552073636985,0.16741142750829155,0.1718398515210389,0.17996284195668222,0.19198442268963856,0.20499751910368105,0.21656935323745047,0.2270585567497592,0.23555951261713734,0.24223291329687474,0.2471863410693541,0.250729956936687,0.25356211254798744,0.257147148862493,0.2622945082329412,0.2653836478180896,0.2643823097908523,0.25946011303178296,0.2532809838584006,0.24651229181908854,0.24130181388690725,0.23813150208290246,0.23698437949752243,0.23770485346647047,0.24017214230398953,0.24276691943788548,0.24482465179371954,0.2466686319098716,0.24739343707912442,0.24706424215737283,0.24671663130628535,0.24726910793892753,0.24858562864093928,0.24954886013202912,0.2495474999986904,0.24810815585116094,0.246053495937132,0.24338458594844037,0.24031635979964916,0.23650228868284182,0.2325849812396964,0.2284500892811985,0.22333024650523098,0.2241638669431867,0.2336006169157963,0.24844436947043236,0.26168259388779747,0.27664590810631096,0.30089791347912365,0.33474904318857746,0.3787979557012229,0.42924340305603453,0.4843995997150776,0.5376753396246037,0.5937361050723079,0.6521592578680964,0.7073921850290876,0.752486866461236,0.7887980669246443,0.8191268662698223,0.8437217197340365,0.8623598545766182,0.8748798153367399,0.8818797428992137,0.8841620272578689,0.8869829147840141,0.8941052116857877,0.9011439519500548,0.9036521740994362,0.9042146062732286,0.9069521935255114,0.9113574331101586,0.9151214046478677,0.917696462517171,0.9191425069983713,0.9202328661073367,0.9212821092682013,0.9224567825809511,0.9243584455049308,0.9268293476655259,0.9292964406715817,0.9317941548797617,0.9344541562035222,0.9365874872993087,0.9377532500313868,0.9385223355542608,0.9396326375747894,0.9411762714385331,0.9427950620161727,0.9441772099338096,0.9453770642810649,0.9466019054643569,0.9476174318705756,0.9483904549234392,0.9492353200814941,0.9499621838158523,0.9502078314049687,0.9501702901000029,0.9499728135562839,0.9486594340687484,0.9475788522603872,0.9479102074229677,0.9493600337442167,0.9506469165404967,0.9520340828749311,0.9524322890638772,0.9521192684749824,0.9508531212537656,0.9467228861466743,0.9324383144861287,0.9148669411594503,0.8997215427113044,0.8889676187057439,0.881409841679563,0.8787014288224224,0.8762666247489528,0.8753688816101867
2,01_21,109.9667645,0.0001608917916673979,0.0048474884045576466,0.01041115296217432,0.0170861629449302,0.023630247617108822,0.029020933358914952,0.03368507128060609,0.03774270471796562,0.04134039473840306,0.04442130968919331,0.048675509910805326,0.05402857624932779,0.06001072189404308,0.06442432443920906,0.0689248681716241,0.07789688701127623,0.091597787201984,0.10416936398451389,0.11077045902392521,0.11277643500256042,0.11444186052125563,0.11731219696000407,0.1200856440124752,0.12099851732064987,0.12134849002872294,0.1230896855139709,0.12598133971626094,0.12905957880734364,0.1318797686889874,0.1355583034103647,0.14273788763159778,0.1533075071911841,0.16503500235223909,0.17554703411587314,0.18490456938598188,0.19245123779065992,0.1987303676044298,0.2032709734535991,0.2053199375615088,0.2064823647227118,0.20894709703114295,0.21384517260758837,0.21628907593227117,0.21400082733148545,0.2072718734692022,0.20050134589092952,0.19388657897560932,0.18952178148734963,0.1872567404194003,0.1868341564339689,0.18690994334700595,0.18776540748065462,0.18880511926172933,0.18971720959275615,0.19040528340789922,0.1906084630436788,0.1905420390881926,0.19079616404338506,0.1912734163524255,0.1920980627818929,0.19251158449011707,0.19238322586941164,0.19053302168252714,0.18743776704879306,0.18370802927882207,0.17983076432963074,0.17502714192095092,0.1701696708268092,0.16584061705673978,0.16084202119210017,0.16105912233164077,0.16895582223013272,0.18180383636368502,0.19365416095860188,0.20739940269114415,0.23029162351334947,0.2620162874339157,0.3038545683780341,0.3524901868198759,0.406575833598275,0.46069735869577755,0.5197312765797447,0.583107017305488,0.6441751156768337,0.6960050907466,0.7396389608886444,0.7772645922170873,0.8084231298860584,0.8323853808988634,0.8487392277638108,0.8579143770451755,0.8612356651826857,0.8649927664290169,0.8733297352708389,0.8813017318322514,0.8843227325191093,0.8851752724336998,0.8883643665695373,0.8932236033118703,0.8973996170236117,0.8999711988822179,0.9010167551551148,0.9017627585774459,0.9029072209460293,0.9047375652577467,0.9072417653309903,0.9097013183786022,0.9119730089299848,0.9148670793757062,0.9183548165950094,0.920962568800032,0.922307452457626,0.9231294734575499,0.9244222383332923,0.9263800369531028,0.9283200264861706,0.9297210372025908,0.9306923413850792,0.9316965618414348,0.9324817948439319,0.9331378565538135,0.9340863360103502,0.934757751714537,0.9347277864277512,0.9342641572402304,0.9333528031415486,0.9307935855252407,0.9287540970309669,0.9291408114876407,0.9311811160175176,0.9330778444265849,0.9348838115629703,0.9349769519336821,0.933873467989605,0.9316326612910539,0.9264714000681025,0.9075635770370714,0.8825748622477095,0.858137231947505,0.8406808488078732,0.827810203253602,0.8209976203630329,0.8161229205662345,0.8141383545668628
3,01_23,124.2417737,0.0011026654163985622,0.00724829848140747,0.014448890468261566,0.022744475108654377,0.03131017037627222,0.038550995777081515,0.043740008288394513,0.048091747776128735,0.05210748337835533,0.05612496652900561,0.06042597216413034,0.06455231714573977,0.0688109557493081,0.07298858313626176,0.07715864721072829,0.08584579047080193,0.09974097288082276,0.11365119084832755,0.12094650413609755,0.12265378439512611,0.12371386642356459,0.12597823952319184,0.1284157634800047,0.12957617765567897,0.13021377704013515,0.13145080598571063,0.13301849972540167,0.13483134237869213,0.137566381014088,0.1421606111975801,0.1512508192893943,0.16428578166190494,0.178683973271101,0.1902959419434993,0.19972297854971546,0.20794337764154286,0.21625672593965853,0.22303289710601779,0.22609344642011014,0.2267000429005718,0.22828719455020546,0.23218020539193185,0.23363207226027433,0.2296751752809055,0.22162738955148892,0.21344116296162885,0.20605801494325507,0.2004056876161947,0.1970969971223207,0.19506519395828797,0.19386081196204297,0.19317227794678116,0.19315464243951586,0.19312954517088152,0.19327802390364546,0.1927849258984131,0.1913708397099016,0.18956303468374225,0.18857958495626512,0.1888206054914683,0.18886915278853642,0.18826941754466445,0.18627693617046068,0.18296473388370366,0.17868895168016755,0.17349550815006354,0.16709611211027875,0.1601661549708942,0.1546663944135943,0.1492144372581668,0.14892838617019094,0.15530185998019083,0.16626046665514618,0.17828829081058062,0.19325357442299892,0.21903315060466105,0.2553153121487713,0.3027769865608706,0.35713456086904605,0.4163291264803724,0.4747039277017113,0.5352930247763736,0.6012124701876881,0.6646826644169199,0.717791542286082,0.7598449268801314,0.795741790721269,0.8253620353920686,0.8480728343622724,0.8632754028712584,0.8716508657593388,0.8754262124886144,0.8794323572705989,0.8861749531303322,0.8921779402497998,0.8944696678770113,0.8950883217350143,0.8973573891419035,0.9014995552734053,0.9055896281766582,0.9082914253599543,0.9096997227730278,0.910599889475859,0.9118457220050864,0.9139089399655517,0.9164862203424733,0.9183921026565125,0.9198937159561453,0.9220719072864931,0.9248785490989714,0.9270220763415054,0.9283318939834513,0.929316839259996,0.9305422179380671,0.9322527949102991,0.9339861332762386,0.9353190023563593,0.9361570470166406,0.9368311442566497,0.9372329789710772,0.9376645131292909,0.938365080309721,0.9388246408973255,0.938871072891778,0.9387462361145721,0.9381344605306579,0.9366687769991928,0.9359802913480184,0.9371022526940038,0.9388971876221066,0.9408368370260326,0.9424902788132163,0.9428027788935913,0.9419612448351952,0.9405299865994989,0.9357643528259911,0.9218450718752464,0.902568829261519,0.8834852853615622,0.8673803452062079,0.8537598752456541,0.8443795409844579,0.838112199335916,0.8352956079707617
4,01_33,102.7364149,0.0003644542019492774,0.008132315691563228,0.015755913811885337,0.02334892785229576,0.029866267773239065,0.036502606437153806,0.04323899581533389,0.05002576100869764,0.05554269310953745,0.06085003281313396,0.06669408285504506,0.07260503688655667,0.07852106657177503,0.08360024549350266,0.08937540735160322,0.09983756834555618,0.11605946229428549,0.13135422530149868,0.1394647301879926,0.14123980346466197,0.14272424451318372,0.1456459823141556,0.1484377216050572,0.1499028134392083,0.1510744330247742,0.15275968863683392,0.15455455813194985,0.1566629234125071,0.15994286591817267,0.16513384010790472,0.17430536229939214,0.1864410680984853,0.19976203679919535,0.21064176001547102,0.21961781604179154,0.22733979179301875,0.23487657196914763,0.2407837943277547,0.24408717753378995,0.24578508475804225,0.24752652838211645,0.25026409104220104,0.2508775719560332,0.24771459949602254,0.24117161949852975,0.23482584832216247,0.22926715269445574,0.2252544025117911,0.22236881564101438,0.22078534853549275,0.2200626334752923,0.22011211686853732,0.2211398566193934,0.22280899152969952,0.22451133886453928,0.22505672847183184,0.2247944056428162,0.22445359088402927,0.22441091299949398,0.22478408642736766,0.2250874622197554,0.22529975900986415,0.223888178991895,0.22075940240437286,0.21706725292835805,0.2129523199189981,0.20796397007612927,0.20246212051632168,0.1978530457824853,0.19284252466723467,0.19317549828523467,0.2015070821352749,0.215094400364014,0.22857216080478004,0.24348515736480134,0.26796506853229685,0.3026302996990502,0.34813823941083183,0.40066904976591533,0.4576789359879384,0.5142551574146723,0.5732670944535063,0.637549811497985,0.6991312036402073,0.7502786431405988,0.790348754277626,0.8241332607758678,0.8517713856511726,0.8728147948256784,0.886992765532929,0.8948300848569111,0.8982898144326377,0.9019356020395816,0.9082848683800169,0.9144209598222734,0.9170089638581871,0.9176290268253551,0.9194127998204291,0.9230116242342339,0.9265750618950661,0.9290037949688541,0.9304049238632122,0.9314822234353791,0.9326776189257789,0.9339818527113001,0.9356930411580552,0.9376806703516501,0.9398380444796866,0.9422546036241276,0.9448139836330751,0.9466994020927958,0.9477477121476833,0.9484683213152568,0.9494975620128832,0.9508239222118663,0.9520950936250387,0.9530845747964207,0.9539216003961175,0.954814838541989,0.9555184338987159,0.9559550911512574,0.9562105381044267,0.9564472833969958,0.9566773027578833,0.9568695531470648,0.9566918594064271,0.9558093336612421,0.9552985212083673,0.9557944030454915,0.9567542583939421,0.9576813657766505,0.9589410470495985,0.9597242418483438,0.9597426347883624,0.95894217095414,0.9548900791926476,0.9430190708398253,0.9279257582456927,0.9139931434545725,0.9017172452561754,0.8915120983478948,0.8849700679869501,0.8803329067253133,0.8780916553968515
5,01_36,115.1925426,0.0013767439242230166,0.014532562456508361,0.027405576943674813,0.0397999513491261,0.051974936769272256,0.06181595247743802,0.0705110640575051,0.07825071242288978,0.08440568895996012,0.08894011484311645,0.09464121596923453,0.10160365602523734,0.10883932122762906,0.11427999379177484,0.11972695665271024,0.13152880744055692,0.15062521495524328,0.16868728593925025,0.17688723378488352,0.1780860489681277,0.179200634722122,0.18262949315949412,0.18600324936694776,0.18783439729707696,0.18866108115775765,0.19025276555075496,0.19248418079453425,0.19532007381503608,0.19841645817432418,0.2036507817788306,0.2133303525831331,0.22708606279889798,0.24182654271935686,0.25506764163050377,0.2667957908649218,0.2766357357876671,0.28525754329080066,0.2916616139084319,0.29480037393447833,0.296423354954758,0.2996842464369076,0.30557152991227504,0.3083846620577289,0.30527055631356415,0.2969278700820566,0.28889677673211833,0.2814170251258006,0.27641437072837727,0.27356657156288117,0.27301121421614954,0.2732547738100384,0.2744904248265333,0.27638601394042683,0.27838223520949346,0.27981602451438303,0.2800266611555806,0.27933498086878095,0.27936152764325795,0.2804221303276637,0.2825421084919054,0.28396497987884994,0.28469801728361266,0.28323985343842234,0.28009827590453895,0.2760243680013045,0.27184755364546764,0.267228208862119,0.2622208869920847,0.25722181743244454,0.2508050690034127,0.25202831087266975,0.26271534442869593,0.2795423638955192,0.29450795946017394,0.3116411318397099,0.3383287063668869,0.3748204518307421,0.4217702939311226,0.47445645471879055,0.5307880761611347,0.5849470746865408,0.6407121258500104,0.6972332717379498,0.748355485515301,0.7891828975936923,0.8220588243194253,0.8500605662985248,0.8726992419695855,0.8894172132684603,0.9003866547864761,0.9065386153744972,0.9091083704422056,0.9119694634492366,0.9173402153514841,0.922360592021458,0.9242838341415678,0.9249733489905791,0.9271289700307517,0.9307054663730115,0.933820854558284,0.9357591031960998,0.9365127789737321,0.9370715558200239,0.9379400813610229,0.9391970939193908,0.9408292354865724,0.9425064218614223,0.9439940269511606,0.9457811523801892,0.9478986614621239,0.9496436632687464,0.9506215555666546,0.9513080109739179,0.9523132492444658,0.9538153713588396,0.9553933362948853,0.9566792935233672,0.9576892998022447,0.958522268089844,0.9590706978617728,0.9595141286266875,0.9601609315018942,0.960628618107132,0.9607975916360129,0.9607602269495263,0.960392603648794,0.9591548309329603,0.9582933431918363,0.9587670522815136,0.9599244619228056,0.9609338353283908,0.9621033615923927,0.9626061588538779,0.9622109180658052,0.9612516345987342,0.9582352079731542,0.9480199735388152,0.9340250536796223,0.9194028877907869,0.9074668446791978,0.8989180188104691,0.8945636308927731,0.8907694844636703,0.8883629949071876
6,01_37,105.6228538,0.00023352483889760206,0.005332217468866743,0.011750256483131131,0.019893876421450216,0.02759259766509967,0.035333904076476436,0.042990639315329135,0.050554632123761274,0.056379711636168846,0.06132139862854505,0.06683807468885915,0.07313668735402817,0.08010168135469814,0.0866261426189376,0.09337673465089355,0.10473578116973409,0.12250509907707835,0.13960942341373933,0.14842192714819286,0.1501335671775262,0.15134000121195895,0.15432322109993069,0.15761170541521344,0.15954733293092555,0.1603502493619272,0.16161159163838762,0.16339779044288769,0.1658694306958653,0.16892712646167335,0.17415534043747632,0.18377077382258877,0.1971114721889783,0.21134843754015198,0.2232193065340664,0.2330087328383516,0.24100380842208646,0.24874033394871292,0.2547825020689567,0.25762281170290624,0.25834858733105254,0.2602463825304858,0.26424604954845243,0.265756328494849,0.2620286423798877,0.2540764280565805,0.24557289844783262,0.23766095772865553,0.2323188101403784,0.22969357734417048,0.2285922083396265,0.22816628027188754,0.22858817671253512,0.23011772238233993,0.23147474263482765,0.23256139330178358,0.232489261974075,0.23210919329048507,0.2317997263806544,0.23195407717653138,0.23277793406879604,0.23351880619611456,0.23378655580513624,0.23209255694084957,0.22870722384219472,0.224089318306821,0.21890054111640317,0.21278305439613454,0.20647641045957651,0.2007435405830476,0.19436567953214753,0.19420793095220684,0.2032201976800263,0.21831157440498017,0.23208308367520336,0.24715754111215055,0.27294562698113833,0.3103315674753383,0.35935277782268493,0.4155539335710119,0.4761285462542253,0.5351774399373748,0.595862036520101,0.6606836205620727,0.721719873990599,0.771554885592728,0.8105530157969173,0.8433272383785164,0.8698103908212841,0.8893592519883582,0.9023843346970111,0.9094839092467486,0.9125143506501708,0.9156032360171389,0.9210340218012879,0.9264303466576888,0.9291441909085405,0.9302484519366105,0.9320424211428086,0.9350882112047514,0.9380236443419973,0.9398478685469022,0.9405624707698708,0.9409517922906958,0.9415318497054437,0.9423827742721452,0.9435371179745925,0.944811103206928,0.946257794109216,0.9480784717021852,0.9501673195335749,0.9517676735880648,0.952749624169037,0.9534484875048551,0.9545797531036727,0.9562064244874755,0.9576830166658828,0.9585547549643048,0.9590761529582837,0.9595934353122865,0.9599640421095119,0.9603146316366915,0.9607345021861022,0.9611167114304264,0.9613043495937867,0.9612608171336134,0.9607895825176831,0.9597644817046922,0.9591569946405494,0.9594344353838413,0.9603312838141794,0.9608342811972126,0.9616778386283045,0.9620809460732622,0.9618771336253013,0.9603220282919223,0.9557522633983367,0.9448098042555886,0.9308876486793045,0.9170366031550304,0.9039430298366353,0.8953140780211315,0.8932084257351962,0.890915704500589,0.8902568174669424
7,01_40,101.2935124,0.0008230813763879225,0.009445877372847002,0.01820229756328586,0.027315117033525606,0.03575382539899662,0.042281487227599474,0.04780445010994774,0.05271727364050581,0.0568841865930763,0.059867161918853495,0.06368224426694859,0.06857071753663357,0.074173475446903,0.07842554250472807,0.0827341302229728,0.09043324988021688,0.10274128109626345,0.11473316859428964,0.12099905282257928,0.12238096204177373,0.12311880154160648,0.1250509962685047,0.12651263850018107,0.1267403224864923,0.12676488463883118,0.12792987408684825,0.12997112262464844,0.1323922599892262,0.13494065374669373,0.13868837609574414,0.14628996658421323,0.1576415567333433,0.17030748144107352,0.1809258493241775,0.1898635151061773,0.19677549963335117,0.20290774710453,0.20744249042746155,0.21029661102436042,0.21174488037412034,0.21382979336868405,0.21779648701223125,0.21946918737616677,0.2161825413641516,0.20847595774238029,0.20060964332805287,0.19305603049817724,0.1877234043204956,0.18454970964694914,0.18347934501988802,0.18315911805673069,0.1837157091872754,0.18441309117422838,0.18501150301028826,0.18491339099408036,0.18363240224916402,0.18147665609686323,0.1798690403707752,0.17948045659019612,0.1803893265253444,0.18083769784488607,0.18054825994211665,0.17848073475207815,0.1753499280402068,0.1715450894432772,0.1674583815659112,0.16231363158009787,0.15702206734065072,0.15221073255643205,0.14664971026796964,0.1459776831897927,0.15242069695980937,0.16359975150429876,0.17425496168119414,0.18710300469010382,0.2097086103262941,0.24260794198167118,0.286090878250086,0.3365838939619971,0.392287166313831,0.44855545921885587,0.5091450725059785,0.5765034549132553,0.6428613633113235,0.7002525411015423,0.7480476628745792,0.7897797143353803,0.8242770103235239,0.8509149695796409,0.8690294644208816,0.8787741096526274,0.882130107234792,0.8857023152135294,0.8932276777894893,0.9008933882951053,0.903859646838529,0.904244246226782,0.9062368748852667,0.9105388556534662,0.9144191741022912,0.9166691766601502,0.9173662935027451,0.9175882293098716,0.9181069725015665,0.9189421859828848,0.9203177142435524,0.9219607221149149,0.9238124074447772,0.9261864109240805,0.9289363138515552,0.9311239469504949,0.9321968188223408,0.9328373861790594,0.9340976977095838,0.9360696803534451,0.9379181729426562,0.9391101656901801,0.9399987356302402,0.9408805213967608,0.9415487024384157,0.9420376529042391,0.9423751724236966,0.9429011436098663,0.9435420571921559,0.9443746086924532,0.9451711117622393,0.9457130764973285,0.9459577432576936,0.9461828937459067,0.9465902507772751,0.9469994327806955,0.9479610654589331,0.949197116488577,0.950790804158811,0.9513152608785955,0.9475121608160338,0.9357631263116932,0.9212700961147042,0.9078058348453322,0.89702801147156,0.8871994681909202,0.8789393924652045,0.8697116920381658,0.8600807991308641
8,01_41,122.4516333,-0.00020106412561877055,0.0046947154095749065,0.011616135695335277,0.021248251098005523,0.03094297207738571,0.038806855268281065,0.04503749235209602,0.05059547915286742,0.05619424908956304,0.060436418326327054,0.06649845476440402,0.07429052859794456,0.082619958849384,0.08909677396358853,0.09517117556128185,0.10647756547184699,0.12410375849360884,0.14159071704449566,0.15072009646561896,0.15321023626298208,0.15481420525392048,0.1577626794200182,0.16019721951611188,0.1607863852201746,0.16062187836530853,0.16184091629594,0.16429917246651018,0.16767443898414677,0.17167865697852677,0.17782111641150736,0.18984701734724882,0.20694705634270402,0.22563671095026844,0.2415990832877442,0.255374524211152,0.2663607168472444,0.275972268905346,0.2826942228262522,0.28602626031798856,0.28745384438513055,0.290428939471428,0.29589066235543887,0.2982460683328738,0.2942230805805859,0.2841670204158717,0.2729220991021029,0.26157485372576483,0.25346192958513775,0.2484174860253243,0.24604411325356626,0.24467173220153893,0.24512410517058958,0.24584673383599703,0.24671387542727855,0.24629308432598537,0.24491339005351836,0.2421006265521532,0.2401662743262884,0.23946343556311914,0.24047840280583244,0.2411142363132546,0.24160897414448831,0.23962597055192847,0.23518124502222976,0.22887612741836588,0.22263139729679482,0.21516149565486775,0.2071809271023653,0.19996458040412837,0.19178450276524509,0.1902595476956453,0.19801285895031473,0.21302173359966442,0.22894307353581966,0.24906313089112103,0.281810346457506,0.3262758925565635,0.38311240865164187,0.4463746842865739,0.5125930353505432,0.5747403658095793,0.6367083955318706,0.7001341622762582,0.7577871429826799,0.8037995610964187,0.839404833221276,0.868775963904066,0.8919911135161698,0.909302040904223,0.9207640108375175,0.9270471953390821,0.929471140979432,0.9317738317218682,0.9363406161284944,0.9408784760966935,0.9425624378882714,0.9427264690666495,0.9439885417588088,0.946776546523924,0.9492949509542217,0.950847002097946,0.9514112088024435,0.9517574859780628,0.9523540567569146,0.9532284416713348,0.9543937743742475,0.9558064004014206,0.9572627941982756,0.9589217380844972,0.9606812981774502,0.9620658040327681,0.9627508014579427,0.9631311565059973,0.9639446351819114,0.9652652016261931,0.9664873200264017,0.9672041160179603,0.9676704273639053,0.9681515447009963,0.968503122735785,0.9688060147232249,0.96914453720936,0.9695205658666748,0.9698003581264537,0.9700573970272708,0.9704268709142311,0.9707483755193941,0.9710500390496332,0.9715386657979879,0.9722590855144081,0.9727966448310634,0.973365371966604,0.9737787734691268,0.9741853013818247,0.9741505692410883,0.9728441162931398,0.9679981820385178,0.9605979707803833,0.9519950128476551,0.9430421751005255,0.9350147042061825,0.9287920452643312,0.9218989568959403,0.9150203847019117
9,01_42,80.51530395,0.0009765486066366698,0.00802692274933518,0.017214754956816118,0.0288933300584246,0.04128118840142888,0.05063545913829541,0.05699460023871213,0.062118751067491484,0.06687122720246885,0.0711741421977757,0.0770482019923279,0.08478816957605628,0.09282442107262334,0.09811239119845025,0.1026398959142587,0.11345141772502387,0.131340768406282,0.148512932108168,0.1574041253959947,0.1600452286602611,0.16211956198330862,0.1656440589877199,0.16870275662990383,0.16959408310174712,0.16998493641972365,0.17201632132299738,0.1762309089286919,0.18055344581874577,0.1840444411597263,0.1887365408050163,0.19902532618212093,0.21475071175511012,0.23173532517753034,0.2468668385088013,0.259964471479612,0.2708539661448817,0.2797433370314332,0.28612267542304193,0.2901584377889153,0.2924495258117643,0.2959869820726254,0.3011995456885045,0.30361020276626993,0.2999662387025492,0.2910146047524883,0.28122382637458854,0.27137058147110815,0.26428599263812674,0.2597231825429702,0.2579919966316915,0.2572855922871604,0.258009154930051,0.2592584903362068,0.2604692509040799,0.26082363929839786,0.26023604417445717,0.2590523100888675,0.2584170802491492,0.258750746506591,0.260719342894453,0.2616290653634339,0.2610473366138458,0.25734481486630834,0.25251773894569546,0.24716120524441415,0.2419432052232311,0.23590869979445972,0.23027931340185873,0.22496812064869678,0.2182211742432028,0.2185959412161782,0.2287645492683017,0.24465064784064441,0.2597111892916751,0.27896660292240216,0.3095710148355031,0.35106674893840195,0.403360187696524,0.46131566045471456,0.5217006099000394,0.5796304266043819,0.6388353157656451,0.6991734942525428,0.7533205938965633,0.7962775987360249,0.8301300920600903,0.8588728324264079,0.8820712607186574,0.8992793497892518,0.910697191664292,0.917193250708042,0.9202574654353765,0.9233626696118606,0.928597961429646,0.9332924342119775,0.9346614315434987,0.9344791939712032,0.9358902427622984,0.9391496283432611,0.9421959670814971,0.9440991600654829,0.9449848383994985,0.9455640316730127,0.9462864886826057,0.9470569813896097,0.9481660558081364,0.9495254112239402,0.9510120412385137,0.9526640233647324,0.9544824434390552,0.9559192354820255,0.9566756586537426,0.9571753520370535,0.9580664049561382,0.9593877282699659,0.9606517396055366,0.961605263097951,0.9623611772453888,0.9628358043712608,0.9629561728428999,0.963098202569246,0.9635872326634365,0.9640481141890305,0.9641157063399917,0.9639018842560089,0.9637917687536386,0.9636640862689102,0.9637415150680047,0.964167065271236,0.9647764611143692,0.9651906022481191,0.9657556962422957,0.9663430721526052,0.9668209423791868,0.9668465404638553,0.9647267306331245,0.9574074048809804,0.9479316616909726,0.9387279364274386,0.9310382619457814,0.9227832180759691,0.9146529014307262,0.9060620991752546,0.8970772026828384
10,01_43,68.26173975,0.00015340392997349896,0.004278568868054432,0.010073456207133003,0.017827898781169905,0.025941114562078392,0.033447560255777165,0.03986026352075435,0.04506286548047162,0.04932114115816608,0.05230261034058943,0.05760440250911457,0.06465174994174672,0.07276607900355288,0.07859252955838919,0.08300079284361676,0.09228031224434217,0.10752592295594654,0.12292174423207915,0.1304522103945072,0.13247606251254257,0.1341460555864952,0.13767078369518904,0.140627402163379,0.14139297455389152,0.14107954892901448,0.1423241510500976,0.14474185780022789,0.14783216034867214,0.15107688041422962,0.15631832583086408,0.16581159829082465,0.17896825984957515,0.19307581649690284,0.2049826049729523,0.21500465657422063,0.2232672760727997,0.2309783527794338,0.23703080554192582,0.24031726791929667,0.24181518789328685,0.24415059172505732,0.24850666910670616,0.25016555537954743,0.2468120187340225,0.23905146469214894,0.23119338797637895,0.22376435203244072,0.21899838526396131,0.21609393875096827,0.21498154785319754,0.2145899471356881,0.21566303105956763,0.21689719475056765,0.2183799495272666,0.2197639175453587,0.2203863429787424,0.21991395248141077,0.2193372695714037,0.21962332018128383,0.2201944955007576,0.22072286174517267,0.22127347004641676,0.2201661750780668,0.21662617740728707,0.212451768306008,0.20838227200079495,0.20348807044652356,0.19805529500192554,0.19331418942609993,0.18797800511079826,0.18835606604200225,0.1972533022188698,0.2114207599756605,0.22463541957913974,0.23956817547251075,0.2649727914435892,0.30124458047582214,0.3483553072284549,0.40188477392333083,0.45970242292197366,0.5160838925142619,0.5750838952373106,0.6371798837313415,0.6952695109028771,0.7429178146205371,0.7815057449714237,0.8145132741479302,0.8414115716823474,0.8622798352427976,0.8760890482206797,0.8836707256977269,0.8863539273811945,0.88979735403601,0.8964325825282934,0.9025783940573537,0.9045891959177783,0.9050395603625545,0.9075517876062007,0.9119319839823314,0.9158912262344229,0.9183149802241746,0.9194463953482254,0.9202895970298816,0.9215030217187228,0.9233155810246152,0.9257345225906592,0.9279829170340836,0.9301360551057293,0.9325927576982921,0.9352511658426818,0.9371953717751575,0.9384752723058645,0.939444173365662,0.9407314621672496,0.9424751577224436,0.9442362944593264,0.9454729139073104,0.9463731745311965,0.947092298365596,0.9475057743978633,0.9477774713186192,0.9483207186177296,0.9489604912073926,0.949581799278934,0.9503296521895226,0.9509776997813963,0.9508065808952962,0.9504974227954642,0.9509363909523715,0.9516727230147045,0.9528473904559613,0.9543807444827468,0.9556386443908639,0.9566615514366232,0.9570829180680253,0.9541146834681857,0.9427201470735103,0.928365139290662,0.9151800087676365,0.9056771295125559,0.8976061406574144,0.8909215120793572,0.8840718196370267,0.8773835727551224
